Key	EN	FR
scan-to-join	First, scan the following QR code to join the game	Scannez le QR code suivant à l'aide de votre téléphone pour rejoindre la simulation
scan-to-take-role	Scan a QR code to pick a role in the game	Scannez un QR code pour définir votre rôle dans la partie
scan-to-impersonate-player	Scan this QR code to play a character with this level of skills	Scannez ce QR code pour incarner votre personnage avec ce niveau de compétences
scan-to-impersonate-patient	Scan this QR code to play as this patient	Scannez ce QR code pour incarner ce patient
scan-to-impersonate-observer	Scan this QR code to be an observer	Scannez ce QR code pour être observateur
scan-patient	scan a patient QR code to examine him/her	Scannez le QR code d'un patient pour l'ausculter
join-as-observer	join as observer	Rejoindre en tant qu'observateur
join-as-squad-member	join as participant	Rejoindre en tant qu'intervenant
join-as-patient	join as patient	Rejoindre en tant que patient
touch-camera-icon	touch the camera icon below	Touchez l'icône d'appareil photo ci-dessous
